sku,parentSku,bulk,variant_name,grossWeight,netWeight,itemQty,displayName,category,sub_category,status
G-629,G-532,BK-200,231mg x 3,0.0007623,0.000693,3,antirrhinum _flowering seeds 231mg x 3,Seeds,Seeds,success
G-832,G-832,BK-610,100 gm x1,0.1,0.1,1,Imli Powder 100 gm x1,other Products,Other Product,success
G-827,G-827,BK-182,50gm x1,0.05,0.05,1,Katyayani Lupin Pixie Mix seeds 50gm x1,Seeds,Seeds,success
G-887,G-887,BK-189,500 mg x1,0.00055,0.0005,1,Statice Mix Seeds_Flowering Seed 500 mg x1,Seeds,Seeds,success
G-891,G-891,BK-166,280 mg x1,0.000308,0.00028,1,Sunflower Sungold Seeds_Flowering Seed 280 mg x1,Seeds,Seeds,success
G-734,G-589,BK-241,4 gm x 2,0.008,0.008,2,sweetcorn _Vegetable seeds 4 gm x 2,Seeds,Seeds,success
K-7281,K-7281,BK-540,25 KG x 1,27.5,25,1,TRIPLE ATTACK WP - VBM 25 KG x 1,Pesticide,Bio Insecticides,success
G-671,G-653,BK-202,10.8 gm x 2,0.0216,0.0216,2,Sweet Pea Royal Mix Seeds flowering seeds  10.8 gm x 2,Seeds,Seeds,success
G-874,G-874,BK-219,4000 mg x1,0.0044,0.004,1,French Bean Seeds_Vegitable Seed 4000 mg x1,Seeds,Seeds,success
G-840,G-840,BK-600,227 gm x1,0.227,0.227,1,Mulethi powder (Brown) 227 gm x1,other Products,Other Product,success
G-834,G-834,BK-610,1 kg x1,1.1,1,1,Imli Powder 1 kg x1,other Products,Other Product,success
G-855,G-855,BK-304,1500 mg x1,0.00165,0.0015,1,Papaya seeds_Fruit seeds 1500 mg x1,Seeds,Seeds,success
G-744,G-744,BK-416,25 kg x 1,27.5,25,1,HydroxyEthyl Cellulose 25 kg x 1,other Products,Other Product,success
G-896,G-896,BK-164,700 mg x1,0.00077,0.0007,1,Zinnia Lilliput Mix Seeds_Flowering Seed 700 mg x1,Seeds,Seeds,success
G-894,G-894,BK-164,140 mg x1,0.000154,0.00014,1,Zinnia Lilliput Mix Seeds_Flowering Seed 140 mg x1,Seeds,Seeds,success
G-893,G-893,BK-166,1400 mg x1,0.00154,0.0014,1,Sunflower Sungold Seeds_Flowering Seed 1400 mg x1,Seeds,Seeds,success
G-892,G-892,BK-166,700 mg x1,0.00077,0.0007,1,Sunflower Sungold Seeds_Flowering Seed 700 mg x1,Seeds,Seeds,success
G-890,G-890,BK-167,830 mg x1,0.000913,0.00083,1,Balsam Mix Seeds_Flowering Seed 830 mg x1,Seeds,Seeds,success
G-889,G-889,BK-167,415 mg x1,0.0004565,0.000415,1,Balsam Mix Seeds_Flowering Seed 415 mg x1,Seeds,Seeds,success
G-886,G-886,BK-189,250 mg x1,0.000275,0.00025,1,Statice Mix Seeds_Flowering Seed 250 mg x1,Seeds,Seeds,success
G-884,G-884,BK-208,1300 mg x1,0.00143,0.0013,1,Spinach Seeds_Vegitable Seed 1300 mg x1,Seeds,Seeds,success
G-882,G-882,BK-208,260 mg x1,0.000286,0.00026,1,Spinach Seeds_Vegitable Seed 260 mg x1,Seeds,Seeds,success
G-881,G-881,BK-210,1100 mg x1,0.00121,0.0011,1,Coriander Seeds_Vegitable Seed 1100 mg x1,Seeds,Seeds,success
G-880,G-880,BK-210,550 mg x1,0.000605,0.00055,1,Coriander Seeds_Vegitable Seed 550 mg x1,Seeds,Seeds,success
G-878,G-878,BK-217,700 mg x1,0.00077,0.0007,1,Beetroot Seeds_Vegitable Seed 700 mg x1,Seeds,Seeds,success
G-877,G-877,BK-217,350 mg x1,0.000385,0.00035,1,Beetroot Seeds_Vegitable Seed 350 mg x1,Seeds,Seeds,success
G-870,G-870,BK-220,2000 mg x1,0.0022,0.002,1,Bottlegourd Seeds (Long)_Vegitable Seed 2000 mg x1,Seeds,Seeds,success
G-869,G-869,BK-228,13000 mg x1,0.0143,0.013,1,Bittergourd Seeds (Green Long)_Vegitable Seed 13000 mg x1,Seeds,Seeds,success
G-866,G-866,BK-231,276000 mg x1,0.3036,0.276,1,Cauliflower Seeds_Vegitable Seed 276000 mg x1,Seeds,Seeds,success
G-864,G-864,BK-231,55200 mg x1,0.06072,0.0552,1,Cauliflower Seeds_Vegitable Seed 55200 mg x1,Seeds,Seeds,success
G-862,G-862,BK-233,10000 mg x1,0.011,0.01,1,Drumstick Seeds (Moringa)_Vegitable Seed 10000 mg x1,Seeds,Seeds,success
G-861,G-861,BK-233,4000 mg x1,0.0044,0.004,1,Drumstick Seeds (Moringa)_Vegitable Seed 4000 mg x1,Seeds,Seeds,success
G-860,G-860,BK-239,6000 mg x1,0.0066,0.006,1,Ash Gourd Seeds_Vegitable Seed 6000 mg x1,Seeds,Seeds,success
G-857,G-857,BK-304,4500 mg x1,0.00495,0.0045,1,Papaya seeds_Fruit seeds 4500 mg x1,Seeds,Seeds,success
G-856,G-856,BK-304,3000 mg x1,0.0033,0.003,1,Papaya seeds_Fruit seeds 3000 mg x1,Seeds,Seeds,success
G-854,G-854,BK-312,19000 mg x1,0.0209,0.019,1,Indian Laburnum Seeds (Cassia Fistula) - 100 g_Tree and Grass seeds 19000 mg x1,Seeds,Seeds,success
G-853,G-853,BK-312,9500 mg x1,0.01045,0.0095,1,Indian Laburnum Seeds (Cassia Fistula) - 100 g_Tree and Grass seeds 9500 mg x1,Seeds,Seeds,success
G-852,G-852,BK-312,3800 mg x1,0.00418,0.0038,1,Indian Laburnum Seeds (Cassia Fistula) - 100 g_Tree and Grass seeds 3800 mg x1,Seeds,Seeds,success
G-850,G-850,BK-327,8900 mg x1,0.00979,0.0089,1,Pithecellobium Saman Seeds - 100 g_Tree and Grass seeds 8900 mg x1,Seeds,Seeds,success
G-849,G-849,BK-327,4450 mg x1,0.004895,0.00445,1,Pithecellobium Saman Seeds - 100 g_Tree and Grass seeds 4450 mg x1,Seeds,Seeds,success
G-848,G-848,BK-356,1 kg x1,1.1,1,1,Ammonium Bicarbonate powder 1 kg x1,other Products,Other Product,success
G-846,G-846,BK-442,500 gm x1,0.5,0.5,1,Sodium Silicate 500 gm x1,other Products,Other Product,success
G-845,G-845,BK-461,1 kg x1,1.1,1,1,Maca Powder 1 kg x1,other Products,Other Product,success
G-844,G-844,BK-461,500 gm x1,0.5,0.5,1,Maca Powder 500 gm x1,other Products,Other Product,success
